card_no,address,short_name,parent,batch_no,province,city,area
110000,北京市,北京市,ROOT,1,北京,北京,北京市
110100,北京市市辖区,市辖区,110000,1,北京,北京,市辖区
110101,北京市市辖区东城区,东城区,110100,1,北京,北京,东城区
110102,北京市市辖区西城区,西城区,110100,1,北京,北京,西城区
110103,崇文区,崇文区,110100,1,北京,北京,崇文区
110104,宣武区,宣武区,110100,1,北京,北京,宣武区
110105,北京市市辖区朝阳区,朝阳区,110100,1,北京,北京,朝阳区
110106,北京市市辖区丰台区,丰台区,110100,1,北京,北京,丰台区
110107,北京市市辖区石景山区,石景山区,110100,1,北京,北京,石景山区
110108,北京市市辖区海淀区,海淀区,110100,1,北京,北京,海淀区
110109,北京市市辖区门头沟区,门头沟区,110100,1,北京,北京,门头沟区
110110,燕山区,燕山区,110100,1,北京,北京,燕山区
110111,北京市市辖区房山区,房山区,110100,1,北京,北京,房山区
110112,北京市市辖区通州区,通州区,110100,1,北京,北京,通州区
110113,北京市市辖区顺义区,顺义区,110100,1,北京,北京,顺义区
110114,北京市市辖区昌平区,昌平区,110100,1,北京,北京,昌平区
110115,北京市市辖区大兴区,大兴区,110100,1,北京,北京,大兴区
110116,北京市市辖区怀柔区,怀柔区,110100,1,北京,北京,怀柔区
110117,北京市市辖区平谷区,平谷区,110100,1,北京,北京,平谷区
110200,北京市县,县,110000,1,北京,北京,县
110221,昌平县,昌平县,110200,1,北京,北京,昌平县
110222,顺义县,顺义县,110200,1,北京,北京,顺义县
110223,通县,通县,110200,1,北京,北京,通县
110224,大兴县,大兴县,110200,1,北京,北京,大兴县
110225,房山县,房山县,110200,1,北京,北京,房山县
110226,平谷县,平谷县,110200,1,北京,北京,平谷县
110227,怀柔县,怀柔县,110200,1,北京,北京,怀柔县
110228,北京市密云县,密云县,110200,1,北京,北京,密云县
110229,北京市延庆县,延庆县,110200,1,北京,北京,延庆县
120000,天津市,天津市,ROOT,1,天津,天津,天津市
120100,天津市市辖区,市辖区,120000,1,天津,天津,市辖区
120101,天津市市辖区和平区,和平区,120100,1,天津,天津,和平区
120102,天津市市辖区河东区,河东区,120100,1,天津,天津,河东区
120103,天津市市辖区河西区,河西区,120100,1,天津,天津,河西区
120104,天津市市辖区南开区,南开区,120100,1,天津,天津,南开区
120105,天津市市辖区河北区,河北区,120100,1,天津,天津,河北区
120106,天津市市辖区红桥区,红桥区,120100,1,天津,天津,红桥区
120107,塘沽区,塘沽区,120100,1,天津,天津,塘沽区
120108,汉沽区,汉沽区,120100,1,天津,天津,汉沽区
120109,大港区,大港区,120100,1,天津,天津,大港区
120110,天津市市辖区东丽区,东丽区,120100,1,天津,天津,东丽区
120111,天津市市辖区西青区,西青区,120100,1,天津,天津,西青区
120112,天津市市辖区津南区,津南区,120100,1,天津,天津,津南区
120113,天津市市辖区北辰区,北辰区,120100,1,天津,天津,北辰区
120114,天津市市辖区武清区,武清区,120100,1,天津,天津,武清区
120115,天津市市辖区宝坻区,宝坻区,120100,1,天津,天津,宝坻区
120116,天津市市辖区滨海新区,滨海新区,120100,1,天津,天津,滨海新区
120117,天津市市辖区宁河区,宁河区,120100,1,天津,天津,宁河区
120118,天津市市辖区静海区,静海区,120100,1,天津,天津,静海区
120200,天津市县,县,120000,1,天津,天津,县
120221,宁河县,宁河县,120200,1,天津,天津,宁河县
120222,武清县,武清县,120200,1,天津,天津,武清县
120223,静海县,静海县,120200,1,天津,天津,静海县
120224,宝坻县,宝坻县,120200,1,天津,天津,宝坻县
120225,天津市蓟县,蓟县,120200,1,天津,天津,蓟县
130000,河北省,河北省,ROOT,1,河北,河北省,河北省
130100,河北省石家庄市,石家庄市,130000,1,河北,石家庄,石家庄市
130101,河北省石家庄市市辖区,市辖区,130100,1,河北,石家庄,市辖区
130102,河北省石家庄市长安区,长安区,130100,1,河北,石家庄,长安区
130103,河北省石家庄市桥东区,石家庄市,130100,1,河北,石家庄,石家庄市
130104,河北省石家庄市桥西区,桥西区,130100,1,河北,石家庄,桥西区
130105,河北省石家庄市新华区,新华区,130100,1,河北,石家庄,新华区
130106,河北省石家庄市郊区(2001年撤销),石家庄市,130100,1,河北,石家庄,石家庄市
130107,河北省石家庄市井陉矿区,井陉矿区,130100,1,河北,石家庄,井陉矿区
130108,河北省石家庄市裕华区,裕华区,130100,1,河北,石家庄,裕华区
130109,河北省石家庄市藁城区,藁城区,130100,1,河北,石家庄,藁城区
130110,河北省石家庄市鹿泉区,鹿泉区,130100,1,河北,石家庄,鹿泉区
130111,河北省石家庄市栾城区,栾城区,130100,1,河北,石家庄,栾城区
130121,河北省石家庄市井陉县,井陉县,130100,1,河北,石家庄,井陉县
130122,河北省石家庄市获鹿县,石家庄市,130100,1,河北,石家庄,石家庄市
130123,河北省石家庄市正定县,正定县,130100,1,河北,石家庄,正定县
130124,河北省石家庄市栾城县,石家庄市,130100,1,河北,石家庄,石家庄市
130125,河北省石家庄市行唐县,行唐县,130100,1,河北,石家庄,行唐县
130126,河北省石家庄市灵寿县,灵寿县,130100,1,河北,石家庄,灵寿县
130127,河北省石家庄市高邑县,高邑县,130100,1,河北,石家庄,高邑县
130128,河北省石家庄市深泽县,深泽县,130100,1,河北,石家庄,深泽县
130129,河北省石家庄市赞皇县,赞皇县,130100,1,河北,石家庄,赞皇县
130130,河北省石家庄市无极县,无极县,130100,1,河北,石家庄,无极县
130131,河北省石家庄市平山县,平山县,130100,1,河北,石家庄,平山县
130132,河北省石家庄市元氏县,元氏县,130100,1,河北,石家庄,元氏县
130133,河北省石家庄市赵县,赵县,130100,1,河北,石家庄,赵县
130181,河北省石家庄市辛集市,石家庄市,130100,1,河北,石家庄,石家庄市
130182,河北省石家庄市藁城市,石家庄市,130100,1,河北,石家庄,石家庄市
130183,河北省石家庄市晋州市,晋州市,130100,1,河北,石家庄,晋州市
130184,河北省石家庄市新乐市,新乐市,130100,1,河北,石家庄,新乐市
130185,河北省石家庄市鹿泉市,石家庄市,130100,1,河北,石家庄,石家庄市
130200,河北省唐山市,唐山市,130000,1,河北,唐山,唐山市
130201,河北省唐山市市辖区,市辖区,130200,1,河北,唐山,市辖区
130202,河北省唐山市路南区,路南区,130200,1,河北,唐山,路南区
130203,河北省唐山市路北区,路北区,130200,1,河北,唐山,路北区
130204,河北省唐山市古冶区,古冶区,130200,1,河北,唐山,古冶区
130205,河北省唐山市开平区,开平区,130200,1,河北,唐山,开平区
130206,河北省唐山市新区(2002年撤销),唐山市,130200,1,河北,唐山,唐山市
130207,河北省唐山市丰南区,丰南区,130200,1,河北,唐山,丰南区
130208,河北省唐山市丰润区,丰润区,130200,1,河北,唐山,丰润区
130209,河北省唐山市曹妃甸区,曹妃甸区,130200,1,河北,唐山,曹妃甸区
130221,河北省唐山市丰润县(2002年撤销),唐山市,130200,1,河北,唐山,唐山市
130222,河北省唐山市丰南县,唐山市,130200,1,河北,唐山,唐山市
130223,河北省唐山市滦县,滦县,130200,1,河北,唐山,滦县
130224,河北省唐山市滦南县,滦南县,130200,1,河北,唐山,滦南县
130225,河北省唐山市乐亭县,乐亭县,130200,1,河北,唐山,乐亭县
130226,河北省唐山市迁安县,唐山市,130200,1,河北,唐山,唐山市
130227,河北省唐山市迁西县,迁西县,130200,1,河北,唐山,迁西县
130228,河北省唐山市遵化县,唐山市,130200,1,河北,唐山,唐山市
130229,河北省唐山市玉田县,玉田县,130200,1,河北,唐山,玉田县
130230,河北省唐山市唐海县,唐山市,130200,1,河北,唐山,唐山市
130281,河北省唐山市遵化市,遵化市,130200,1,河北,唐山,遵化市
130282,河北省唐山市丰南市(2002年撤销),唐山市,130200,1,河北,唐山,唐山市
130283,河北省唐山市迁安市,迁安市,130200,1,河北,唐山,迁安市
130300,河北省秦皇岛市,秦皇岛市,130000,1,河北,秦皇岛,秦皇岛市
130301,河北省秦皇岛市市辖区,市辖区,130300,1,河北,秦皇岛,市辖区
130302,河北省秦皇岛市海港区,海港区,130300,1,河北,秦皇岛,海港区
130303,河北省秦皇岛市山海关区,山海关区,130300,1,河北,秦皇岛,山海关区
130304,河北省秦皇岛市北戴河区,北戴河区,130300,1,河北,秦皇岛,北戴河区
130305,河北省秦皇岛市郊区,秦皇岛市,130300,1,河北,秦皇岛,秦皇岛市
130306,河北省秦皇岛市抚宁区,抚宁区,130300,1,河北,秦皇岛,抚宁区
130321,河北省秦皇岛市青龙满族自治县,青龙满族自治县,130300,1,河北,秦皇岛,青龙满族自治县
130322,河北省秦皇岛市昌黎县,昌黎县,130300,1,河北,秦皇岛,昌黎县
130323,河北省秦皇岛市抚宁县,秦皇岛市,130300,1,河北,秦皇岛,秦皇岛市
130324,河北省秦皇岛市卢龙县,卢龙县,130300,1,河北,秦皇岛,卢龙县
130351,秦皇岛经济技术开发区114,秦皇岛市,130300,1,河北,秦皇岛,秦皇岛市
130400,河北省邯郸市,邯郸市,130000,1,河北,邯郸,邯郸市
130401,河北省邯郸市市辖区,市辖区,130400,1,河北,邯郸,市辖区
130402,河北省邯郸市邯山区,邯山区,130400,1,河北,邯郸,邯山区
130403,河北省邯郸市丛台区,丛台区,130400,1,河北,邯郸,丛台区
130404,河北省邯郸市复兴区,复兴区,130400,1,河北,邯郸,复兴区
130405,河北省邯郸市郊区,邯郸市,130400,1,河北,邯郸,邯郸市
130406,河北省邯郸市峰峰矿区,峰峰矿区,130400,1,河北,邯郸,峰峰矿区
130421,河北省邯郸市邯郸县,邯郸县,130400,1,河北,邯郸,邯郸县
130422,河北省邯郸市武安县,邯郸市,130400,1,河北,邯郸,邯郸市
130423,河北省邯郸市临漳县,临漳县,130400,1,河北,邯郸,临漳县
130424,河北省邯郸市成安县,成安县,130400,1,河北,邯郸,成安县
130425,河北省邯郸市大名县,大名县,130400,1,河北,邯郸,大名县
130426,河北省邯郸市涉县,涉县,130400,1,河北,邯郸,涉县
130427,河北省邯郸市磁县,磁县,130400,1,河北,邯郸,磁县
130428,河北省邯郸市肥乡县,肥乡县,130400,1,河北,邯郸,肥乡县
130429,河北省邯郸市永年县,永年县,130400,1,河北,邯郸,永年县
130430,河北省邯郸市邱县,邱县,130400,1,河北,邯郸,邱县
130431,河北省邯郸市鸡泽县,鸡泽县,130400,1,河北,邯郸,鸡泽县
130432,河北省邯郸市广平县,广平县,130400,1,河北,邯郸,广平县
130433,河北省邯郸市馆陶县,馆陶县,130400,1,河北,邯郸,馆陶县
130434,河北省邯郸市魏县,魏县,130400,1,河北,邯郸,魏县
130435,河北省邯郸市曲周县,曲周县,130400,1,河北,邯郸,曲周县
130481,河北省邯郸市武安市,武安市,130400,1,河北,邯郸,武安市
130500,河北省邢台市,邢台市,130000,1,河北,邢台,邢台市
130501,河北省邢台市市辖区,市辖区,130500,1,河北,邢台,市辖区
130502,河北省邢台市桥东区,桥东区,130500,1,河北,邢台,桥东区
130503,河北省邢台市桥西区,桥西区,130500,1,河北,邢台,桥西区
130504,河北省邢台市郊区,邢台市,130500,1,河北,邢台,邢台市
130521,河北省邢台市邢台县,邢台县,130500,1,河北,邢台,邢台县
130522,河北省邢台市临城县,临城县,130500,1,河北,邢台,临城县
130523,河北省邢台市内丘县,内丘县,130500,1,河北,邢台,内丘县
130524,河北省邢台市柏乡县,柏乡县,130500,1,河北,邢台,柏乡县
130525,河北省邢台市隆尧县,隆尧县,130500,1,河北,邢台,隆尧县
130526,河北省邢台市任县,任县,130500,1,河北,邢台,任县
130527,河北省邢台市南和县,南和县,130500,1,河北,邢台,南和县
130528,河北省邢台市宁晋县,宁晋县,130500,1,河北,邢台,宁晋县
130529,河北省邢台市巨鹿县,巨鹿县,130500,1,河北,邢台,巨鹿县
130530,河北省邢台市新河县,新河县,130500,1,河北,邢台,新河县
130531,河北省邢台市广宗县,广宗县,130500,1,河北,邢台,广宗县
130532,河北省邢台市平乡县,平乡县,130500,1,河北,邢台,平乡县
130533,河北省邢台市威县,威县,130500,1,河北,邢台,威县
130534,河北省邢台市清河县,清河县,130500,1,河北,邢台,清河县
130535,河北省邢台市临西县,临西县,130500,1,河北,邢台,临西县
130581,河北省邢台市南宫市,南宫市,130500,1,河北,邢台,南宫市
130582,河北省邢台市沙河市,沙河市,130500,1,河北,邢台,沙河市
130600,河北省保定市,保定市,130000,1,河北,保定,保定市
130601,河北省保定市市辖区,市辖区,130600,1,河北,保定,市辖区
130602,河北省保定市竞秀区,竞秀区,130600,1,河北,保定,竞秀区
130603,河北省保定市北市区,保定市,130600,1,河北,保定,保定市
130604,河北省保定市南市区,保定市,130600,1,河北,保定,保定市
130605,河北省保定市郊区,保定市,130600,1,河北,保定,保定市
130606,河北省保定市莲池区,莲池区,130600,1,河北,保定,莲池区
130607,河北省保定市满城区,满城区,130600,1,河北,保定,满城区
130608,河北省保定市清苑区,清苑区,130600,1,河北,保定,清苑区
130609,河北省保定市徐水区,徐水区,130600,1,河北,保定,徐水区
130621,河北省保定市满城县,保定市,130600,1,河北,保定,保定市
130622,河北省保定市清苑县,保定市,130600,1,河北,保定,保定市
130623,河北省保定市涞水县,涞水县,130600,1,河北,保定,涞水县
130624,河北省保定市阜平县,阜平县,130600,1,河北,保定,阜平县
130625,河北省保定市徐水县,保定市,130600,1,河北,保定,保定市
130626,河北省保定市定兴县,定兴县,130600,1,河北,保定,定兴县
130627,河北省保定市唐县,唐县,130600,1,河北,保定,唐县
130628,河北省保定市高阳县,高阳县,130600,1,河北,保定,高阳县
130629,河北省保定市容城县,容城县,130600,1,河北,保定,容城县
130630,河北省保定市涞源县,涞源县,130600,1,河北,保定,涞源县
130631,河北省保定市望都县,望都县,130600,1,河北,保定,望都县
130632,河北省保定市安新县,安新县,130600,1,河北,保定,安新县
130633,河北省保定市易县,易县,130600,1,河北,保定,易县
130634,河北省保定市曲阳县,曲阳县,130600,1,河北,保定,曲阳县
130635,河北省保定市蠡县,蠡县,130600,1,河北,保定,蠡县
130636,河北省保定市顺平县,顺平县,130600,1,河北,保定,顺平县
130637,河北省保定市博野县,博野县,130600,1,河北,保定,博野县
130638,河北省保定市雄县,雄县,130600,1,河北,保定,雄县
130681,河北省保定市涿州市,涿州市,130600,1,河北,保定,涿州市
130682,河北省保定市定州市,保定市,130600,1,河北,保定,保定市
130683,河北省保定市安国市,安国市,130600,1,河北,保定,安国市
130684,河北省保定市高碑店市,高碑店市,130600,1,河北,保定,高碑店市
130700,河北省张家口市,张家口市,130000,1,河北,张家口,张家口市
130701,河北省张家口市市辖区,市辖区,130700,1,河北,张家口,市辖区
130702,河北省张家口市桥东区,桥东区,130700,1,河北,张家口,桥东区
130703,河北省张家口市桥西区,桥西区,130700,1,河北,张家口,桥西区
130704,河北省张家口市茶坊区192,张家口市,130700,1,河北,张家口,张家口市
130705,河北省张家口市宣化区,宣化区,130700,1,河北,张家口,宣化区
130706,河北省张家口市下花园区,下花园区,130700,1,河北,张家口,下花园区
130707,河北省张家口市庞家堡区,张家口市,130700,1,河北,张家口,张家口市
130721,河北省张家口市宣化县,宣化县,130700,1,河北,张家口,宣化县
130722,河北省张家口市张北县,张北县,130700,1,河北,张家口,张北县
130723,河北省张家口市康保县,康保县,130700,1,河北,张家口,康保县
130724,河北省张家口市沽源县,沽源县,130700,1,河北,张家口,沽源县
130725,河北省张家口市尚义县,尚义县,130700,1,河北,张家口,尚义县
130726,河北省张家口市蔚县,蔚县,130700,1,河北,张家口,蔚县
130727,河北省张家口市阳原县,阳原县,130700,1,河北,张家口,阳原县
130728,河北省张家口市怀安县,怀安县,130700,1,河北,张家口,怀安县
130729,河北省张家口市万全县,万全县,130700,1,河北,张家口,万全县
130730,河北省张家口市怀来县,怀来县,130700,1,河北,张家口,怀来县
130731,河北省张家口市涿鹿县,涿鹿县,130700,1,河北,张家口,涿鹿县
130732,河北省张家口市赤城县,赤城县,130700,1,河北,张家口,赤城县
130733,河北省张家口市崇礼县,崇礼县,130700,1,河北,张家口,崇礼县
130800,河北省承德市,承德市,130000,1,河北,承德,承德市
130801,河北省承德市市辖区,市辖区,130800,1,河北,承德,市辖区
130802,河北省承德市双桥区,双桥区,130800,1,河北,承德,双桥区
130803,河北省承德市双滦区,双滦区,130800,1,河北,承德,双滦区
130804,河北省承德市鹰手营子矿区,鹰手营子矿区,130800,1,河北,承德,鹰手营子矿区
130821,河北省承德市承德县,承德县,130800,1,河北,承德,承德县
130822,河北省承德市兴隆县,兴隆县,130800,1,河北,承德,兴隆县
130823,河北省承德市平泉县,平泉县,130800,1,河北,承德,平泉县
130824,河北省承德市滦平县,滦平县,130800,1,河北,承德,滦平县
130825,河北省承德市隆化县,隆化县,130800,1,河北,承德,隆化县
130826,河北省承德市丰宁满族自治县,丰宁满族自治县,130800,1,河北,承德,丰宁满族自治县
130827,河北省承德市宽城满族自治县,宽城满族自治县,130800,1,河北,承德,宽城满族自治县
130828,河北省承德市围场满族蒙古族自治县,围场满族蒙古族自治县,130800,1,河北,承德,围场满族蒙古族自治县
130900,河北省沧州市,沧州市,130000,1,河北,沧州,沧州市
130901,河北省沧州市市辖区,市辖区,130900,1,河北,沧州,市辖区
130902,河北省沧州市新华区,新华区,130900,1,河北,沧州,新华区
130903,河北省沧州市运河区,运河区,130900,1,河北,沧州,运河区
130904,河北省沧州市郊区,沧州市,130900,1,河北,沧州,沧州市
130905,河北省沧州市临港科技开发区,沧州市,130900,1,河北,沧州,沧州市
130921,河北省沧州市沧县,沧县,130900,1,河北,沧州,沧县
130922,河北省沧州市青县,青县,130900,1,河北,沧州,青县
130923,河北省沧州市东光县,东光县,130900,1,河北,沧州,东光县
130924,河北省沧州市海兴县,海兴县,130900,1,河北,沧州,海兴县
130925,河北省沧州市盐山县,盐山县,130900,1,河北,沧州,盐山县
130926,河北省沧州市肃宁县,肃宁县,130900,1,河北,沧州,肃宁县
130927,河北省沧州市南皮县,南皮县,130900,1,河北,沧州,南皮县
130928,河北省沧州市吴桥县,吴桥县,130900,1,河北,沧州,吴桥县
130929,河北省沧州市献县,献县,130900,1,河北,沧州,献县
130930,河北省沧州市孟村回族自治县,孟村回族自治县,130900,1,河北,沧州,孟村回族自治县
130981,河北省沧州市泊头市,泊头市,130900,1,河北,沧州,泊头市
130982,河北省沧州市任丘市,任丘市,130900,1,河北,沧州,任丘市
130983,河北省沧州市黄骅市,黄骅市,130900,1,河北,沧州,黄骅市
130984,河北省沧州市河间市,河间市,130900,1,河北,沧州,河间市
131000,河北省廊坊市,廊坊市,130000,1,河北,廊坊,廊坊市
131001,河北省廊坊市市辖区,市辖区,131000,1,河北,廊坊,市辖区
131002,河北省廊坊市安次区,安次区,131000,1,河北,廊坊,安次区
131003,河北省廊坊市广阳区,广阳区,131000,1,河北,廊坊,广阳区
131021,河北省廊坊市三河县,廊坊市,131000,1,河北,廊坊,廊坊市
131022,河北省廊坊市固安县,固安县,131000,1,河北,廊坊,固安县
131023,河北省廊坊市永清县,永清县,131000,1,河北,廊坊,永清县
131024,河北省廊坊市香河县,香河县,131000,1,河北,廊坊,香河县
131025,河北省廊坊市大城县,大城县,131000,1,河北,廊坊,大城县
131026,河北省廊坊市文安县,文安县,131000,1,河北,廊坊,文安县
131027,河北省廊坊市霸县,廊坊市,131000,1,河北,廊坊,廊坊市
131028,河北省廊坊市大厂回族自治县,大厂回族自治县,131000,1,河北,廊坊,大厂回族自治县
131081,河北省廊坊市霸州市,霸州市,131000,1,河北,廊坊,霸州市
131082,河北省廊坊市三河市,三河市,131000,1,河北,廊坊,三河市
131100,河北省衡水市,衡水市,130000,1,河北,衡水,衡水市
131101,河北省衡水市市辖区,市辖区,131100,1,河北,衡水,市辖区
131102,河北省衡水市桃城区,桃城区,131100,1,河北,衡水,桃城区
131121,河北省衡水市枣强县,枣强县,131100,1,河北,衡水,枣强县
131122,河北省衡水市武邑县,武邑县,131100,1,河北,衡水,武邑县
131123,河北省衡水市武强县,武强县,131100,1,河北,衡水,武强县
131124,河北省衡水市饶阳县,饶阳县,131100,1,河北,衡水,饶阳县
131125,河北省衡水市安平县,安平县,131100,1,河北,衡水,安平县
131126,河北省衡水市故城县,故城县,131100,1,河北,衡水,故城县
131127,河北省衡水市景县,景县,131100,1,河北,衡水,景县
131128,河北省衡水市阜城县,阜城县,131100,1,河北,衡水,阜城县
131181,河北省衡水市冀州市,冀州市,131100,1,河北,衡水,冀州市
131182,河北省衡水市深州市,深州市,131100,1,河北,衡水,深州市
132100,邯郸市,邯郸市,130000,1,河北,邯郸,邯郸市
132101,河北省邯郸地区邯郸市(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132121,河北省邯郸地区大名县(1982)270,邯郸市,130000,1,河北,邯郸,邯郸市
132123,河北省邯郸地区曲周县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132124,河北省邯郸地区丘县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132125,河北省邯郸地区鸡泽县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132126,河北省邯郸地区肥乡县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132127,河北省邯郸地区广平县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132128,河北省邯郸地区成安县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132129,河北省邯郸地区临漳县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132130,河北省邯郸地区磁县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132131,河北省邯郸地区武安县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132132,河北省邯郸地区涉县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132133,河北省邯郸地区永年县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132134,河北省邯郸地区邯郸县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132135,河北省邯郸地区馆陶县(1982),邯郸市,130000,1,河北,邯郸,邯郸市
132200,邢台市,邢台市,130000,1,河北,邢台,邢台市
132201,河北省邢台地区南宫市(1986年3月5日),邢台市,130000,1,河北,邢台,邢台市
132202,河北省邢台地区沙河市,邢台市,130000,1,河北,邢台,邢台市
132221,河北省邢台地区邢台县(1982),邢台市,130000,1,河北,邢台,邢台市
132222,河北省邢台地区沙河县(1982),邢台市,130000,1,河北,邢台,邢台市
132223,河北省邢台地区临城县(1982),邢台市,130000,1,河北,邢台,邢台市
132224,河北省邢台地区内丘县(1982),邢台市,130000,1,河北,邢台,邢台市
132225,河北省邢台地区柏乡县(1982),邢台市,130000,1,河北,邢台,邢台市
132226,河北省邢台地区隆尧县(1982),邢台市,130000,1,河北,邢台,邢台市
132227,河北省邢台地区任县(1982),邢台市,130000,1,河北,邢台,邢台市
132228,河北省邢台地区南和县(1982),邢台市,130000,1,河北,邢台,邢台市
132229,河北省邢台地区宁晋县(1982),邢台市,130000,1,河北,邢台,邢台市
132230,河北省邢台地区南宫县(1982),邢台市,130000,1,河北,邢台,邢台市
132231,河北省邢台地区巨鹿县(1982),邢台市,130000,1,河北,邢台,邢台市
132232,河北省邢台地区新河县(1982),邢台市,130000,1,河北,邢台,邢台市
132233,河北省邢台地区广宗县(1982),邢台市,130000,1,河北,邢台,邢台市
132234,河北省邢台地区平乡县(1982),邢台市,130000,1,河北,邢台,邢台市
132235,河北省邢台地区威县(1982),邢台市,130000,1,河北,邢台,邢台市
132236,河北省邢台地区清河县(1982),邢台市,130000,1,河北,邢台,邢台市
132237,河北省邢台地区临西县(1982),邢台市,130000,1,河北,邢台,邢台市
132300,石家庄市,石家庄市,130000,1,河北,石家庄,石家庄市
132301,河北省石家庄地区辛集市,石家庄市,130000,1,河北,石家庄,石家庄市
132302,河北省石家庄地区藁城市,石家庄市,130000,1,河北,石家庄,石家庄市
132303,河北省石家庄地区晋州市,石家庄市,130000,1,河北,石家庄,石家庄市
132304,河北省石家庄市新乐市309,石家庄市,130000,1,河北,石家庄,石家庄市
132322,河北省石家庄市晋县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132323,河北省石家庄市深泽县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132324,河北省石家庄市无极县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132325,河北省石家庄市藁城县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132326,河北省石家庄市赵县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132327,河北省石家庄市栾城县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132328,河北省石家庄市正定县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132329,河北省石家庄市新乐县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132330,河北省石家庄市高邑县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132331,河北省石家庄市元氏县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132332,河北省石家庄市赞皇县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132333,河北省石家庄市井陉县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132334,河北省石家庄市获鹿县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132335,河北省石家庄市平山县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132336,河北省石家庄市灵寿县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132337,河北省石家庄市行唐县(1982),石家庄市,130000,1,河北,石家庄,石家庄市
132400,保定市,保定市,130000,1,河北,保定,保定市
132401,河北省保定地区保定市(1982),保定市,130000,1,河北,保定,保定市
132402,河北省保定地区涿州市(19860924--19921231),保定市,130000,1,河北,保定,保定市
132403,河北省保定地区安国市,保定市,130000,1,河北,保定,保定市
132404,河北省保定地区高碑店市,保定市,130000,1,河北,保定,保定市
132421,河北省保定地区易县(1982),保定市,130000,1,河北,保定,保定市
132422,河北省保定地区满城县(1982),保定市,130000,1,河北,保定,保定市
132423,河北省保定地区徐水县(1982),保定市,130000,1,河北,保定,保定市
132424,河北省保定地区涞源县(1982),保定市,130000,1,河北,保定,保定市
132425,河北省保定地区定兴县(1982),保定市,130000,1,河北,保定,保定市
132426,河北省保定地区完县(1982),保定市,130000,1,河北,保定,保定市
132427,河北省保定地区唐县(1982),保定市,130000,1,河北,保定,保定市
132428,河北省保定地区望都县(1982),保定市,130000,1,河北,保定,保定市
132429,河北省保定地区涞水县(1982),保定市,130000,1,河北,保定,保定市
132430,河北省保定地区涿县(1982),保定市,130000,1,河北,保定,保定市
132431,河北省保定地区清苑县(1982),保定市,130000,1,河北,保定,保定市
132432,河北省保定地区高阳县(1982),保定市,130000,1,河北,保定,保定市
132433,河北省保定地区安新县(1982),保定市,130000,1,河北,保定,保定市
132434,河北省保定地区雄县(1982),保定市,130000,1,河北,保定,保定市
132435,河北省保定地区容城县(1982),保定市,130000,1,河北,保定,保定市
132436,河北省保定地区新城县(1982),保定市,130000,1,河北,保定,保定市
132437,河北省保定地区曲阳县(1982)348,保定市,130000,1,河北,保定,保定市
132439,河北省保定地区定县(1982),保定市,130000,1,河北,保定,保定市
132440,河北省保定地区安国县(1982),保定市,130000,1,河北,保定,保定市
132441,河北省保定地区博野县(1982),保定市,130000,1,河北,保定,保定市
132442,河北省保定地区蠡县(1982),保定市,130000,1,河北,保定,保定市
132500,张家口市,张家口市,130000,1,河北,张家口,张家口市
132501,河北省张家口地区张家口市(1982),张家口市,130000,1,河北,张家口,张家口市
132521,河北省张家口地区张北县(1982),张家口市,130000,1,河北,张家口,张家口市
132522,河北省张家口地区康保县(1982),张家口市,130000,1,河北,张家口,张家口市
132523,河北省张家口地区沽源县(1982),张家口市,130000,1,河北,张家口,张家口市
132524,河北省张家口地区尚义县(1982),张家口市,130000,1,河北,张家口,张家口市
132525,河北省张家口地区蔚县(1982),张家口市,130000,1,河北,张家口,张家口市
132526,河北省张家口地区阳原县(1982),张家口市,130000,1,河北,张家口,张家口市
132527,河北省张家口地区怀安县(1982),张家口市,130000,1,河北,张家口,张家口市
132528,河北省张家口地区万全县(1982),张家口市,130000,1,河北,张家口,张家口市
